user_id,71,46,83,101,1,30
1,-1,-1,-1,1.0,-1,-1
2,-1,-1,-1,0.0,-1,-1
3,-1,0.0,0.6363636363636364,0.7857142857142857,-1,0.0
4,-1,-1,-1,0.0,-1,-1
5,-1,-1,-1,-1,-1,0.0
6,-1,-1,-1,0.0,-1,1.0
7,-1,-1,-1,0.7692307692307693,-1,0.0
8,-1,-1,-1,0.6666666666666666,-1,-1
9,-1,-1,-1,0.25,-1,-1
10,-1,-1,-1,0.7,-1,1.0
11,0.18181818181818182,0.0,0.0,0.7142857142857143,0.0,0.8181818181818182
12,-1,-1,-1,0.0,-1,-1
13,-1,0.0,-1,0.0,-1,-1
14,-1,-1,-1,0.0,-1,0.75
15,-1,-1,-1,0.0,-1,-1
16,0.9166666666666666,-1,-1,0.5,0.0,-1
17,-1,-1,-1,0.8571428571428571,-1,-1
18,-1,-1,-1,0.0,-1,-1
19,-1,-1,-1,0.9090909090909091,-1,1.0
20,0.8571428571428571,-1,0.0,0.42857142857142855,1.0,0.0
21,-1,-1,0.0,0.0,-1,0.0
22,-1,-1,-1,0.75,-1,-1
23,-1,-1,0.0,0.75,-1,-1
24,-1,-1,-1,0.0,-1,-1
25,0.0,-1,-1,0.19047619047619047,0.0,-1
26,-1,-1,-1,0.9183673469387755,-1,-1
27,-1,-1,-1,0.0,-1,-1
28,0.7441860465116279,-1,0.0,0.5454545454545454,0.0,0.0
29,0.0,0.0,-1,0.0,-1,-1
30,-1,-1,-1,0.0,-1,-1
31,-1,-1,-1,0.0,-1,-1
32,0.8333333333333334,-1,-1,-1,-1,1.0
33,-1,-1,-1,0.0,-1,-1
34,-1,-1,-1,-1,-1,0.0
35,-1,-1,-1,0.0,-1,-1
36,1.0,-1,0.0,1.0,-1,-1
37,-1,0.0,-1,0.0,-1,-1
38,-1,-1,-1,0.0,-1,-1
39,-1,-1,-1,0.0,-1,-1
40,0.6923076923076923,-1,0.0,0.5,0.0,-1
41,0.8484848484848485,0.0,-1,0.0,-1,0.8333333333333334
42,1.0,-1,0.0,0.5,-1,0.0
43,-1,-1,-1,0.9090909090909091,-1,-1
44,-1,-1,-1,0.8888888888888888,-1,-1
45,0.8333333333333334,-1,0.0,-1,0.0,0.7142857142857143
46,-1,-1,-1,0.0,-1,0.0
47,-1,-1,-1,0.6,-1,0.0
48,-1,-1,-1,0.8,-1,-1
49,-1,-1,-1,0.0,-1,-1
50,0.75,-1,0.0,0.6666666666666666,0.0,-1
51,0.0,-1,-1,0.0,-1,-1
52,1.0,0.0,0.5384615384615384,0.75,-1,0.0
53,0.0,1.0,0.0,1.0,0.75,0.782608695652174
54,1.0,0.0,-1,1.0,-1,-1
55,0.42105263157894735,-1,-1,0.0,-1,1.0
56,-1,-1,-1,0.0,-1,-1
57,-1,-1,-1,0.0,-1,-1
58,-1,-1,-1,0.0,-1,-1
59,-1,0.0,0.0,0.75,-1,0.0
60,-1,-1,-1,1.0,-1,0.0
61,0.0,-1,-1,0.5,-1,-1
